title,link,section,description
IPC Section 304A » Causing death by negligence.,http://devgan.in/ipc/section/304A/,Section 304A,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 304 » Punishment for culpable homicide not amounting to murder.,http://devgan.in/ipc/section/304/,Section 304,"Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; 

 Or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death. Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. 	 
		 Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and such husband or relative shall be deemed to have caused her death. 
		 Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life. 
	"
IPC Section 303 » Punishment for murder by life-convict.,http://devgan.in/ipc/section/303/,Section 303,"Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death."
IPC Section 302 » Punishment for murder.,http://devgan.in/ipc/section/302/,Section 302,"Whoever commits  murder  shall be punished with death, or imprisonment for life, and shall also be liable to fine."
IPC Section 301 » Culpable homicide by causing death of person other than person whose death was intended.,http://devgan.in/ipc/section/301/,Section 301,"If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause."
IPC Section 300 » Murder.,http://devgan.in/ipc/section/300/,Section 300,"Except in the cases hereinafter excepted, culpable homicide is murder—
	 
		 If the act by which the death is caused is done with the intention of causing death, or 
		 If it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or 
		 If it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or 
		 If the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid. 
	"
IPC Section 299 » Culpable homicide.,http://devgan.in/ipc/section/299/,Section 299,"Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide."
"IPC Section 298 » Uttering words, etc., with deliberate intent to wound religious feelings.",http://devgan.in/ipc/section/298/,Section 298,"Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"IPC Section 297 » Trespassing on burial places, etc.",http://devgan.in/ipc/section/297/,Section 297,"Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
IPC Section 296 » Disturbing religious assembly.,http://devgan.in/ipc/section/296/,Section 296,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"IPC Section 295 » Injuring or defiling place of worship, with intent to insult the religion of any class.",http://devgan.in/ipc/section/295/,Section 295,"Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
IPC Section 295A » Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs.,http://devgan.in/ipc/section/295A/,Section 295A,"Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
IPC Section 294A » Keeping lottery office.,http://devgan.in/ipc/section/294A/,Section 294A,"Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. 

 And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees."
IPC Section 294 » Obscene acts and songs.,http://devgan.in/ipc/section/294/,Section 294,"Whoever, to the annoyance of others:
	 
		 does any obscene act in any public place, or 
		 sings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both. 
	 Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. 

 And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees."
"IPC Section 293 » Sale, etc., of obscene objects to young person.",http://devgan.in/ipc/section/293/,Section 293,"Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees."
"IPC Section 292 » Sale, etc., of obscene books, etc..",http://devgan.in/ipc/section/292/,Section 292,"	 
		 For the purposes of sub-section (2), a book, pamphlet, paper, writing, drawing, painting representation, figure or any other object, shall be deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it. 
		 Whoever:
		 
			 sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, or for purposes of sale, hire, distribution, public exhibition or circulation, makes, reduces or has in his possession any obscene book, pamphlet, paper, drawing, painting, representation or figure or any other obscene object whatsoever, or 
			 imports, exports or conveys any obscene object for any of the purposes aforesaid, or knowing or having reason to believe that such object will be sold, let to hire, distributed or publicly exhibited or in any manner put into circulation, or 
			 takes part in or receives profits from any business in the course of which he knows or has reason to believe that any such obscene objects are, for any of the purposes aforesaid, made, produced, purchased, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or 
			 advertises or makes known by any means whatsoever that any person is engaged or is ready to engage in any act which is an offence under this section, or that any such obscene object can be procured from or through any person, or 
			 offers or attempts to do any act which is an offence under this section, shall be punished on first conviction with imprisonment of either description for a term which may extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and also with fine which may extend to five thousand rupees. 
		 
		"
IPC Section 291 » Continuance of nuisance after injunction to discontinue.,http://devgan.in/ipc/section/291/,Section 291,"Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both."
IPC Section 290 » Punishment for public nuisance in cases not otherwise provided for.,http://devgan.in/ipc/section/290/,Section 290,"Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may extend to two hundred rupees."
IPC Section 289 » Negligent conduct with respect to animal.,http://devgan.in/ipc/section/289/,Section 289,"Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 288 » Negligent conduct with respect to pulling down or repairing buildings.,http://devgan.in/ipc/section/288/,Section 288,"Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 287 » Negligent conduct with respect to machinery.,http://devgan.in/ipc/section/287/,Section 287,"Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 283 » Danger or obstruction in public way or line of navigation.,http://devgan.in/ipc/section/283/,Section 283,"Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or public line of navigation, shall be punished, with fine which may extend to two hundred rupees."
IPC Section 280 » Rash navigation of vessel.,http://devgan.in/ipc/section/280/,Section 280,"Whoever navigates any vessel in a manner so rash or negligent to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 282 » Conveying person by water for hire in unsafe or overloaded vessel.,http://devgan.in/ipc/section/282/,Section 282,"Whoever knowingly or negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 285 » Negligent conduct with respect to fire or combustible matter.,http://devgan.in/ipc/section/285/,Section 285,"Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his possession as is sufficient to guard against any probable danger to human life from such fire or combustible matter, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 286 » Negligent conduct with respect to explosive substance.,http://devgan.in/ipc/section/286/,Section 286,"Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"IPC Section 281 » Exhibition of false light, mark or buoy.",http://devgan.in/ipc/section/281/,Section 281,"Whoever exhibits any false light, mark or buoy, intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
IPC Section 284 » Negligent conduct with respect to poisonous substance.,http://devgan.in/ipc/section/284/,Section 284,"Whoever does, with any poisonous substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, or knowingly or negligently omits to take such order with any poisonous substance in his possession as is sufficient to guard against probable danger to human life from such poisonous substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 279 » Rash driving or riding on a public way.,http://devgan.in/ipc/section/279/,Section 279,"Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 278 » Making atmosphere noxious to health.,http://devgan.in/ipc/section/278/,Section 278,"Whoever voluntarily vitiates the atmosphere in any place so as to make it noxious to the health of persons in general dwelling or carrying on business in the neighborhood or passing along a public way, shall be punished with fine which may extend to five hundred rupees."
IPC Section 277 » Fouling water of public spring or reservoir.,http://devgan.in/ipc/section/277/,Section 277,"Whoever voluntarily corrupts or fouls the water of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
IPC Section 276 » Sale of drug as a different drug or preparation.,http://devgan.in/ipc/section/276/,Section 276,"Whoever knowingly sells, or offers or exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a different drug or medical preparation, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 275 » Sale of adulterated drugs.,http://devgan.in/ipc/section/275/,Section 275,"Whoever, knowing any drug or medical preparation to have been adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 274 » Adulteration of drugs.,http://devgan.in/ipc/section/274/,Section 274,"Whoever adulterates any drug or medical preparation in such a manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used for, any medicinal purpose, as it had not undergone such adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 273 » Sale of noxious food or drink.,http://devgan.in/ipc/section/273/,Section 273,"Whoever sells, or offers or exposes for sale, as food or drink, any article which has been rendered or has become noxious, or is in a state unfit for food or drink, knowing or having reason to believe that the same is noxious as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 272 » Adulteration of food or drink intended for sale.,http://devgan.in/ipc/section/272/,Section 272,"Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink, or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
IPC Section 271 » Disobedience to quarantine rule.,http://devgan.in/ipc/section/271/,Section 271,"Whoever knowingly disobeys any rule made and promulgated by the Government for putting any vessel into a state of quarantine, or for regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for regulating the intercourse between places where an infectious disease prevails and other places, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
IPC Section 270 » Malignant act likely to spread infection of disease dangerous to life.,http://devgan.in/ipc/section/270/,Section 270,"Whoever malignantly does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 269 » Negligent act likely to spread infection of disease dangerous to life.,http://devgan.in/ipc/section/269/,Section 269,"Whoever unlawfully or negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
IPC Section 268 » Public nuisance.,http://devgan.in/ipc/section/268/,Section 268,"A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right. 

 A common nuisance is not excused on the ground that it causes some convenience or advantage."
IPC Section 267 » Making or selling false weight or measure.,http://devgan.in/ipc/section/267/,Section 267,"Whoever makes, sells or disposes of any instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false, in order that the same may be used as true, or knowing that the same is likely to be used as true, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
IPC Section 266 » Being in possession of false weight or measure.,http://devgan.in/ipc/section/266/,Section 266,"Whoever is in possession of any instrument for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, intending that the same may be fraudulently used, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
IPC Section 265 » Fraudulent use of false weight or measure.,http://devgan.in/ipc/section/265/,Section 265,"Whoever, fraudulently uses any false weight or false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity as a different weight or measure from what it is, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
IPC Section 264 » Fraudulent use of false instrument for weighing.,http://devgan.in/ipc/section/264/,Section 264,"Whoever, fraudulently uses any instrument for weighing which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
IPC Section 263A » Prohibition of fictitious stamps.,http://devgan.in/ipc/section/263A/,Section 263A,"	 
		 Whoever:
		 
			 makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any postal purpose any fictitious stamp, or 
			 has in his possession, without lawful excuse, any fictitious stamp, or 
			 makes or, without lawful excuse, has in his possession any die, plate, instrument or materials for making any fictitious stamp, shall be punished with fine which may extend to two hundred rupees. 
		 
		 Any such stamp, die, plate, instrument or materials in the possession of any person for making any fictitious stamp may be seized and, if seized shall be forfeited. 
		 In this section “fictitious stamp” means any stamp falsely purporting to be issued by Government for the purpose of denoting a rate of postage, or any facsimile or imitation or representation, whether on paper or otherwise, of any stamp issued by Government for that purpose. 
		 In this section and also in sections  255  to  263 , both inclusive, the word “Government”, when used in connection with, or in reference to, any stamp issued for the purpose of denoting a rate of postage, shall, notwithstanding anything in section  17 , be deemed to include the person or persons authorized by law to administer executive Government in any part of India, and also in any part of Her Majesty’s dominions or in any foreign country. 
	"
IPC Section 263 » Erasure of mark denoting that stamp has been used.,http://devgan.in/ipc/section/263/,Section 263,"Whoever, fraudulently or with intent to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has been erased or removed, or sells or disposes of any such stamp which he knows to have been used, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. 	 
		 Whoever:
		 
			 makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any postal purpose any fictitious stamp, or 
			 has in his possession, without lawful excuse, any fictitious stamp, or 
			 makes or, without lawful excuse, has in his possession any die, plate, instrument or materials for making any fictitious stamp, shall be punished with fine which may extend to two hundred rupees. 
		 
		 Any such stamp, die, plate, instrument or materials in the possession of any person for making any fictitious stamp may be seized and, if seized shall be forfeited. 
		 In this section “fictitious stamp” means any stamp falsely purporting to be issued by Government for the purpose of denoting a rate of postage, or any facsimile or imitation or representation, whether on paper or otherwise, of any stamp issued by Government for that purpose. 
		 In this section and also in sections  255  to  263 , both inclusive, the word “Government”, when used in connection with, or in reference to, any stamp issued for the purpose of denoting a rate of postage, shall, notwithstanding anything in section  17 , be deemed to include the person or persons authorized by law to administer executive Government in any part of India, and also in any part of Her Majesty’s dominions or in any foreign country. 
	"
"IPC Section 261 » Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government.",http://devgan.in/ipc/section/261/,Section 261,"Whoever, fraudulently or with intent to cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by Government for the purpose of revenue, any writing or document for which such stamp has been used, or removes from any writing or document a stamp which has been used for such writing or document, in order that such stamp may be used for a different writing or document, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
IPC Section 260 » Using as genuine a Government stamp known to be counterfeit.,http://devgan.in/ipc/section/260/,Section 260,"Whoever uses as genuine any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
IPC Section 262 » Using Government stamp known to have been before used.,http://devgan.in/ipc/section/262/,Section 262,"Whoever, fraudulently or with intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the purpose of revenue, which he knows to have been before used, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 259 » Having possession of counterfeit Government stamp.,http://devgan.in/ipc/section/259/,Section 259,"Whoever has in his possession any stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue, intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine stamp, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 257 » Making or selling instrument for counterfeiting Government stamp.,http://devgan.in/ipc/section/257/,Section 257,"Whoever makes or performs any part of the process of making, or buys, or sells, or disposes of, any instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 258 » Sale of counterfeit Government stamp.,http://devgan.in/ipc/section/258/,Section 258,"Whoever sells, or offers for sale, any stamp which he knows or has reason to believe to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 256 » Having possession of instrument or material for counterfeiting Government stamp.,http://devgan.in/ipc/section/256/,Section 256,"Whoever has in his possession any instrument or material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 255 » Counterfeiting Government stamp.,http://devgan.in/ipc/section/255/,Section 255,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting, any stamp issued by Government for the purpose of revenue shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"IPC Section 254 » Delivery of coin as genuine which, when first possessed, the deliverer did not know to be altered.",http://devgan.in/ipc/section/254/,Section 254,"Whoever delivers to any other person as genuine or as a coin of a different description from what it is, or attempts to induce any person to receive as genuine, or as a different coin from what it is, any coin in respect of which he knows that any such operation as that mentioned in sections  246 ,  247 ,  248  or  249  has been performed, but in respect of which he did not, at the time when he took it into his possession, know that such operation had been performed, shall be punished with imprisonment of either description for a term which may extend to two years or with fine to an amount which may extend to ten times the value of the coin for which the altered coin is passed, or attempted to be passed."
IPC Section 253 » Possession of Indian coin by person who knew it to be altered when he became possessed thereof.,http://devgan.in/ipc/section/253/,Section 253,"Whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections  247  or  249  has been committed having known at the time of becoming possessed thereof, that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine."
IPC Section 252 » Possession of coin by person who knew it to be altered when he became possessed thereof.,http://devgan.in/ipc/section/252/,Section 252,"Whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections  246  or  248  has been committed having known at the time of becoming possessed thereof that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
IPC Section 250 » Delivery of coin possessed with knowledge that it is altered.,http://devgan.in/ipc/section/250/,Section 250,"Whoever, having coin in his possession with respect to which the offence defined in sections  246  or  248  has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine."
"IPC Section 251 » Delivery of Indian coin, possessed with knowledge that it is altered.",http://devgan.in/ipc/section/251/,Section 251,"Whoever, having coin in his possession with respect to which the offence defined in sections  247  or  249  has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 249 » Altering appearance of Indian coin with intent that it shall pass as coin of different description.,http://devgan.in/ipc/section/249/,Section 249,"Whoever performs on any Indian coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 248 » Altering appearance of coin with intent that it shall pass as coin of different description.,http://devgan.in/ipc/section/248/,Section 248,"Whoever performs on any coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
IPC Section 247 » Fraudulently or dishonestly diminishing weight or altering composition of Indian coin.,http://devgan.in/ipc/section/247/,Section 247,"Whoever fraudulently or dishonestly performs on any Indian coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 246 » Fraudulently or dishonestly diminishing weight or altering composition of coin.,http://devgan.in/ipc/section/246/,Section 246,"Whoever, fraudulently or dishonestly performs on any coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
IPC Section 245 » Unlawfully taking coining instrument from mint.,http://devgan.in/ipc/section/245/,Section 245,"Whoever, without lawful authority, takes out of any mint, lawfully established in India, any coining tool or instrument, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 244 » Person employed in mint causing coin to be of different weight or composition from that fixed by law.,http://devgan.in/ipc/section/244/,Section 244,"Whoever, being employed in any mint lawfully established in India, does any act, or omits what he is legally bound to do, with the intention of causing any coin issued from that mint to be of a different weight or composition from the weight or composition fixed by law, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 243 » Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof.,http://devgan.in/ipc/section/243/,Section 243,"Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, which is a counterfeit of Indian coin, having known at the time when he became possessed of it that it was counterfeit, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
IPC Section 242 » Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof.,http://devgan.in/ipc/section/242/,Section 242,"Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, having known at the time when he became possessed thereof that such coin was counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
"IPC Section 241 » Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit.",http://devgan.in/ipc/section/241/,Section 241,"Whoever delivers to any other person as genuine, or attempts to induce any other person to receive as genuine, any counterfeit coin which he knows to be counterfeit, but which he did not know to be counterfeit at the time when he took it into his possession, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine to an amount which may extend to ten times the value of the coin counterfeited, or with both."
"IPC Section 240 » Delivery of Indian coin, possessed with knowledge that it is counterfeit.",http://devgan.in/ipc/section/240/,Section 240,"Whoever having any counterfeit coin, which is a counterfeit of Indian coin, and which, at the time when he became possessed of it, he knew to be a counterfeit of Indian coin, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 239 » Delivery of coin possessed with knowledge that it is counterfeit.,http://devgan.in/ipc/section/239/,Section 239,"Whoever, having any counterfeit coin, which at the time when he became possessed of it, he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any persons or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine."
IPC Section 238 » Import or export of counterfeits of the Indian coin.,http://devgan.in/ipc/section/238/,Section 238,"Whoever imports into India, or exports there from, any counterfeit coin, which he knows or has reason to believe to be a counterfeit of Indian coin, shall be punished with Imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
